index,drybulb,damp,glohorzrad,difhorzrad,t_sky,t_ground,wind_speed
292,-3.12,2.04,0.0,0.0,256.62,-3.32,0.0
293,-3.22,1.92,0.0,0.0,256.26,-3.64,0.0
294,-3.35,1.82,0.0,0.0,256.03,-3.85,0.0
295,-3.53,1.74,0.0,0.0,256.06,-3.81,0.0
296,-3.8,1.7,0.06,0.06,256.5,-3.4,4.0
297,-4.15,1.72,0.2,0.2,257.42,-2.55,4.0
298,-4.46,1.78,0.34,0.34,258.67,-1.41,4.0
299,-4.6,1.89,0.44,0.44,260.03,-0.15,4.0
300,-4.37,2.08,0.49,0.49,261.28,1.03,4.0
301,-3.81,2.32,0.47,0.47,262.24,1.95,4.0
302,-3.1,2.58,0.39,0.39,262.71,2.4,4.0
303,-2.41,2.81,0.27,0.27,262.56,2.27,4.0
304,-1.84,2.97,0.12,0.12,261.91,1.65,4.0
305,-1.45,3.05,0.0,0.0,260.91,0.71,4.0
306,-1.3,3.02,0.0,0.0,259.75,-0.39,4.0
307,-1.95,2.78,0.0,0.0,258.62,-1.48,4.0
308,-2.9,2.48,0.0,0.0,257.67,-2.4,3.0
309,-3.06,2.36,0.0,0.0,257.0,-3.03,3.0
310,-3.0,2.27,0.0,0.0,256.58,-3.4,3.0
311,-3.46,2.1,0.0,0.0,256.36,-3.61,3.0
312,-4.28,1.87,0.0,0.0,256.26,-3.72,3.0
313,-5.05,1.68,0.0,0.0,256.17,-3.83,3.0
314,-5.4,1.57,0.0,0.0,255.99,-4.0,2.0
315,-5.47,1.52,0.0,0.0,255.67,-4.3,2.0
316,-5.64,1.46,0.0,0.0,255.27,-4.68,2.0
317,-5.88,1.42,0.0,0.0,254.88,-5.06,2.0
318,-6.15,1.38,0.0,0.0,254.56,-5.38,2.0
319,-6.4,1.36,0.0,0.0,254.4,-5.55,2.0
320,-6.6,1.35,3.11,3.11,254.47,-5.5,2.0
321,-6.72,1.38,10.21,10.21,254.8,-5.2,2.0
322,-6.77,1.41,17.13,17.13,255.31,-4.73,2.0
323,-6.79,1.46,22.41,22.41,255.85,-4.23,2.0
324,-6.8,1.52,24.87,24.87,256.29,-3.82,2.0
325,-6.82,1.57,23.98,23.98,256.5,-3.64,2.0
326,-6.9,1.61,19.93,19.93,256.35,-3.8,4.0
327,-7.04,1.63,13.62,13.62,255.75,-4.4,4.0
328,-7.24,1.64,6.41,6.41,254.78,-5.34,4.0
329,-7.47,1.64,0.0,0.0,253.58,-6.51,4.0
330,-7.7,1.62,0.0,0.0,252.27,-7.78,4.0
331,-7.92,1.61,0.0,0.0,250.99,-9.02,4.0
332,-8.1,1.6,0.0,0.0,249.87,-10.1,2.0
333,-8.23,1.59,0.0,0.0,249.01,-10.93,2.0
334,-8.31,1.58,0.0,0.0,248.4,-11.51,2.0
335,-8.38,1.57,0.0,0.0,248.01,-11.88,2.0
336,-8.45,1.57,0.0,0.0,245.28,-12.08,2.0
337,-8.55,1.54,0.0,0.0,245.22,-12.14,2.0
338,-8.7,1.51,0.0,0.0,245.27,-12.1,0.0
339,-8.91,1.46,0.0,0.0,245.42,-11.97,0.0
340,-9.15,1.4,0.0,0.0,245.7,-11.72,0.0
341,-9.37,1.34,0.0,0.0,246.2,-11.26,0.0
342,-9.54,1.27,0.0,0.0,246.96,-10.55,0.0
343,-9.6,1.21,0.0,0.0,248.05,-9.52,0.0
344,-8.4,1.26,42.34,28.36,249.44,-8.1,2.0
345,-7.09,1.3,136.54,91.46,251.24,-6.28,2.0
346,-6.31,1.26,102.53,102.53,253.27,-4.28,2.0
347,-5.93,1.17,133.95,133.95,255.24,-2.37,2.0
348,-5.81,1.08,148.64,148.64,256.86,-0.8,2.0
349,-5.8,1.01,319.34,213.91,257.84,0.14,2.0
350,-5.9,1.0,265.59,177.9,257.9,0.2,2.0
351,-6.2,1.02,181.83,121.79,256.89,-0.79,2.0
352,-6.64,1.08,38.69,38.69,255.05,-2.59,2.0
353,-7.16,1.15,0.0,0.0,252.71,-4.86,2.0
354,-7.69,1.2,0.0,0.0,250.24,-7.25,2.0
355,-8.16,1.24,0.0,0.0,247.99,-9.41,2.0
356,-8.5,1.25,0.0,0.0,246.31,-11.0,0.0
357,-8.67,1.22,0.0,0.0,245.48,-11.78,0.0
358,-8.72,1.17,0.0,0.0,245.35,-11.88,0.0
359,-8.7,1.1,0.0,0.0,245.66,-11.55,0.0
360,-8.68,1.02,0.0,0.0,248.74,-11.04,0.0
361,-8.73,0.95,0.0,0.0,249.2,-10.57,0.0
362,-8.9,0.89,0.0,0.0,249.38,-10.4,2.0
363,-9.24,0.85,0.0,0.0,249.1,-10.68,2.0
364,-9.66,0.84,0.0,0.0,248.55,-11.24,2.0
365,-10.09,0.84,0.0,0.0,247.95,-11.85,2.0
366,-10.4,0.85,0.0,0.0,247.58,-12.24,2.0
367,-10.5,0.87,0.0,0.0,247.67,-12.17,2.0
368,-10.3,0.91,50.11,32.08,248.48,-11.4,2.0
369,-9.73,0.95,67.81,67.81,250.15,-9.77,2.0
370,-8.92,1.0,265.14,169.75,252.43,-7.54,2.0
