GloHorzRad,DifHorzRad,DryBulb
561.1300049,75.88999939,6.699999809
473.3200073,64.01999664,5.900000095
335.5599976,45.38000107,4.639999866
176.3899994,23.86000061,3.359999895
27.12000084,3.670000076,2.140000105
0,0,1.029999971
0,0,0.129999995
0,0,-0.5
0,0,-0.819999993
0,0,-0.949999988
0,0,-1.019999981
0,0,-1.190000057
0,0,-1.600000024
0,0,-2.400000095
0,0,-3.660000086
0,0,-5.159999847
0,0,-6.590000153
0,0,-7.670000076
0,0,-8.100000381
81.33000183,32.18999863,-6.199999809
120.2399979,120.2399979,-3.75999999
323.0100098,127.8399963,-1.820000052
439.0700073,120.4700012,-0.319999993
453.9899902,179.6799927,0.810000002
467.4899902,128.2700043,1.629999995
370.7099915,146.7200012,2.200000048
263.4700012,104.2799988,2.569999933
139.4400024,55.18999863,2.700000048
13.47000027,13.47000027,2.339999914
0,0,1.470000029
0,0,0.360000014
0,0,-0.699999988
0,0,-1.539999962
0,0,-2.5
0,0,-3.910000086
0,0,-5.639999866
0,0,-7.420000076
0,0,-9
0,0,-10.17000008
0,0,-10.93999958
0,0,-11.38000011
0,0,-11.53999996
0,0,-11.5
95.04000092,28.29999924,-11.19999981
235.8999939,70.23999786,-10.28999996
432.7600098,87.15000153,-8.880000114
472.6799927,140.7299957,-7.21999979
305.519989,305.519989,-5.570000172
503.1000061,149.7899933,-4.179999828
496.230011,99.93000031,-3.299999952
302.9700012,90.19999695,-3.109999895
161.4299927,48.06000137,-3.5
16.60000038,16.60000038,-4.289999962
0,0,-5.289999962
0,0,-6.320000172
0,0,-7.199999809
0,0,-7.789999962
0,0,-8.140000343
0,0,-8.369999886
0,0,-8.590000153
0,0,-8.899999619
0,0,-9.399999619
0,0,-10.15999985
0,0,-11.06000042
0,0,-11.90999985
0,0,-12.55000019
0,0,-12.80000019
60.15000153,15.42000008,-11.89999962
260.4899902,44.06000137,-10.18000031
407.9400024,69,-8.119999886
519.1500244,87.80999756,-5.900000095
570.9500122,96.56999969,-3.700000048
552.3699951,93.43000031,-1.700000048
467.3599854,79.05000305,-0.100000001
188.75,48.40000153,0.699999988
179.0599976,30.29000092,0.449999988
18.78000069,4.820000172,-0.180000007
0,0,-1.039999962
0,0,-1.960000038
0,0,-2.799999952
0,0,-3.430000067
0,0,-3.890000105
0,0,-4.289999962
0,0,-4.690000057
0,0,-5.199999809
0,0,-5.900000095
0,0,-6.829999924
0,0,-7.869999886
0,0,-8.819999695
0,0,-9.529999733
0,0,-9.800000191
65.56999969,14.25,-8.399999619
282.8900146,39.20000076,-6.139999866
441.3500061,61.16999817,-3.809999943
560.789978,77.72000122,-1.559999943
616.4000244,85.41999817,0.439999998
596.460022,82.66000366,2.00999999
282.9500122,61.47999954,3
361.7000122,50.13000107,3.299999952
195.3200073,27.06999969,2.859999895
38.24000168,5.300000191,1.730000019
0,0,0.170000002
0,0,-1.559999943
0,0,-3.200000048
0,0,-4.53000021
0,0,-5.570000172
0,0,-6.400000095
0,0,-7.079999924
0,0,-7.690000057
0,0,-8.300000191
0,0,-8.949999809
0,0,-9.600000381
0,0,-10.15999985
0,0,-10.55000019
0,0,-10.69999981
94.81999969,37.47000122,-8.5
317.9400024,87.08000183,-5.789999962
494.1799927,135.3600006,-3.710000038
445.9100037,176.2299957,-2.059999943
287.75,287.75,-0.639999986
474.1099854,187.3800049,0.74000001
401.9599915,158.8600006,2.299999952
169.4700012,169.4700012,3.5
92.12000275,92.12000275,3.029999971
18.96999931,18.96999931,1.850000024
0,0,0.270000011
0,0,-1.389999986
0,0,-2.799999952
0,0,-3.730000019
0,0,-4.230000019
0,0,-4.429999828
0,0,-4.46999979
0,0,-4.480000019
0,0,-4.599999905
0,0,-4.909999847
0,0,-5.349999905
0,0,-5.800000191
0,0,-6.159999847
0,0,-6.300000191
44.06999969,44.06999969,-4.300000191
103.7799988,103.7799988,-2.170000076
160.6999969,160.6999969,-0.970000029
203.5500031,203.5500031,-0.400000006
223.4900055,223.4900055,-0.140000001
216.3399963,216.3399963,0.090000004
183.6100006,183.6100006,0.600000024
132.1100006,132.1100006,1.200000048
72.27999878,72.27999878,0.850000024
15.60999966,15.60999966,-0.029999999
0,0,-1.24000001
0,0,-2.539999962
0,0,-3.700000048
0,0,-4.559999943
0,0,-5.139999866
0,0,-5.539999962
0,0,-5.849999905
0,0,-6.139999866
0,0,-6.5
0,0,-6.989999771
0,0,-7.550000191
0,0,-8.069999695
0,0,-8.449999809
0,0,-8.600000381
111.5999985,31.82999992,-3.700000048
152.4400024,152.4400024,1.25999999
400.3500061,114.1900024,3.680000067
297.3999939,297.3999939,4.349999905
555.5800171,158.4700012,4.110000134
669.210022,128.2400055,3.75
457,130.3500061,4.099999905
329.6300049,94.01999664,5
225.8200073,43.27000046,4.590000153
50.97999954,9.770000458,3.549999952
0,0,2.170000076
0,0,0.75999999
0,0,-0.400000006
0,0,-1.080000043
0,0,-1.370000005
0,0,-1.409999967
0,0,-1.360000014
0,0,-1.379999995
0,0,-1.600000024
0,0,-2.140000105
0,0,-2.859999895
0,0,-3.599999905
0,0,-4.170000076
0,0,-4.400000095
74.08000183,16.82999992,-4.099999905
170.1600037,38.65999985,-3.49000001
498.0100098,72.87000275,-2.680000067
628.7999878,92.01000214,-1.679999948
362.1700134,82.29000092,-0.49000001
667.8400269,97.72000122,0.870000005
567.960022,83.11000061,2.400000095
410.6600037,60.09000015,3.5
119.5199966,27.14999962,3.210000038
53.58000183,7.840000153,2.450000048
0,0,1.379999995
0,0,0.180000007
0,0,-1
0,0,-2.019999981
0,0,-2.910000086
0,0,-3.730000019
0,0,-4.550000191
0,0,-5.409999847
0,0,-6.400000095
0,0,-7.53000021
0,0,-8.680000305
0,0,-9.699999809
0,0,-10.42000008
0,0,-10.69999981
132.7299957,13.52999973,-10.10000038
301.2399902,30.70000076,-8.979999542
461.2999878,47.00999832,-7.590000153
581.539978,59.25999832,-5.980000019
637.4500122,64.94999695,-4.190000057
617.4199829,62.90999985,-2.24000001
525.6199951,53.56000137,-0.200000003
380.980011,38.81999969,1.200000048
212.4700012,21.64999962,0.769999981
52.04000092,5.300000191,-0.340000004
0,0,-1.840000033
0,0,-3.420000076
0,0,-4.800000191
0,0,-5.760000229
0,0,-6.360000134
0,0,-6.730000019
0,0,-7
0,0,-7.320000172
0,0,-7.800000191
0,0,-8.529999733
0,0,-9.399999619
0,0,-10.22999954
0,0,-10.85000038
0,0,-11.10000038
72.72000122,17.65999985,-10.19999981
281.1099854,44.54999924,-8.300000191
428.8900146,67.98000336,-5.900000095
539.8300171,85.55999756,-3.329999924
591.4099731,93.73999786,-0.889999986
572.9299927,90.80999756,1.090000033
488.25,77.38999939,2.299999952
354.75,56.22999954,2.599999905
199.0800018,31.54999924,2.279999971
29.37000084,7.130000114,1.440000057
0,0,0.270000011
0,0,-1.039999962
0,0,-2.299999952
0,0,-3.369999886
0,0,-4.25
0,0,-5
0,0,-5.650000095
0,0,-6.269999981
0,0,-6.900000095
0,0,-7.559999943
0,0,-8.210000038
0,0,-8.770000458
0,0,-9.149999619
0,0,-9.300000191
147.6600037,63.43000031,-6.800000191
144.7200012,144.7200012,-4.010000229
220.0099945,220.0099945,-2.190000057
276.480011,276.480011,-0.970000029
684.8400269,294.1799927,0.050000001
663.5800171,285.0499878,1.25
250.2299957,250.2299957,3
182.25,182.25,4.599999905
232.7899933,100,4.230000019
61.33000183,26.35000038,3.309999943
0,0,2.099999905
0,0,0.870000005
0,0,-0.100000001
0,0,-0.620000005
0,0,-0.779999971
0,0,-0.769999981
0,0,-0.75
0,0,-0.899999976
0,0,-1.399999976
0,0,-2.349999905
0,0,-3.539999962
0,0,-4.730000019
0,0,-5.639999866
0,0,-6
74.33999634,19.54000092,-3.299999952
279.9200134,48.75,-0.109999999
423.9899902,73.84999847,2.130000114
532,92.66000366,3.720000029
582.1799927,101.4000015,4.900000095
564.210022,98.26999664,5.980000019
481.7999878,83.91999817,7.199999809
351.75,61.27000046,8.199999809
199.8200073,34.79999924,7.760000229
54.45000076,9.479999542,6.610000134
0,0,5.03000021
0,0,3.269999981
0,0,1.600000024
0,0,0.239999995
0,0,-0.829999983
0,0,-1.659999967
0,0,-2.329999924
0,0,-2.880000114
0,0,-3.400000095
0,0,-3.920000076
0,0,-4.400000095
0,0,-4.809999943
0,0,-5.099999905
0,0,-5.199999809
103.5699997,62.04000092,-2.599999905
